hhh_gender...1,hhh_age,monthly_spending...3,any_drops,hhh_literacy...5,age,gender,hhid,group,benef,group1,group_tvn,maths_results,maths_results_s...14,any_drops_n...15,female,est_num_kids,f4,school_spending
1,48,11.37987559,1,2,4723.458333,2,A336006,1,1,2,2,4,-1.334130819,0.143133648,FALSE,2,2,390
1,48,11.37987559,1,2,3550.416667,1,A336006,1,1,2,2,4,-1.334130819,0.143133648,FALSE,2,2,390
1,51,10.24951602,1,2,5264.416667,1,A336008,1,1,2,2,4,-1.334130819,0.143133648,FALSE,2,2,900
1,51,10.24951602,1,2,3698.458333,2,A336008,1,1,2,2,4,-1.334130819,0.143133648,FALSE,2,2,900
1,35,10.61007613,1,1,2142.458333,1,A337001,2,2,1,1,6,0.858325047,0.143133648,FALSE,1,2,400
1,35,10.61007613,1,1,3449.416667,2,A337001,2,2,1,1,6,0.858325047,0.143133648,FALSE,1,2,400
1,44,10.4580908,1,2,3887.416667,2,A337002,2,2,1,1,6,0.858325047,0.143133648,FALSE,2,4,1080
1,44,10.4580908,1,2,2959.458333,1,A337002,2,2,1,1,6,0.858325047,0.143133648,FALSE,2,4,1080
1,40,10.45909532,1,1,4383.458333,1,A337004,2,2,1,1,6,0.858325047,0.143133648,FALSE,2,4,1000
1,40,10.45909532,1,1,3197.416667,2,A337004,2,2,1,1,6,0.858325047,0.143133648,FALSE,2,4,1000
1,55,10.36683964,1,2,4529.416667,1,A337008,2,2,1,1,4,-1.334130819,0.143133648,FALSE,3,4,500
1,55,10.36683964,1,2,5627.416667,2,A337008,2,2,1,1,4,-1.334130819,0.143133648,FALSE,3,4,500
1,55,10.36683964,1,2,2587.458333,2,A337008,2,2,1,1,4,-1.334130819,0.143133648,FALSE,3,4,500
1,55,10.36683964,1,2,3846.416667,1,A337008,2,2,1,1,4,-1.334130819,0.143133648,FALSE,3,4,500
1,44,11.9999925,1,1,4269.416667,2,A338001,2,1,1,1,4,-1.334130819,0.143133648,FALSE,1,2,570
1,39,12.59251996,1,2,3645.458333,2,A338002,2,1,1,1,6,0.858325047,0.143133648,FALSE,2,3,870
1,50,10.33048116,1,2,3766.416667,2,A338004,2,1,1,1,6,0.858325047,0.143133648,FALSE,4,2,980
1,50,10.33048116,1,2,5604.416667,2,A338004,2,1,1,1,6,0.858325047,0.143133648,FALSE,4,2,980
1,50,10.33048116,1,2,4607.416667,2,A338004,2,1,1,1,6,0.858325047,0.143133648,FALSE,4,2,980
1,50,10.33048116,1,2,2939.458333,1,A338004,2,1,1,1,6,0.858325047,0.143133648,FALSE,4,2,980
1,39,11.5152157,0,1,5446.458333,2,A338005,2,1,1,1,6,0.858325047,-6.985372839,FALSE,2,2,960
1,39,11.5152157,1,1,4452.416667,1,A338005,2,1,1,1,6,0.858325047,0.143133648,FALSE,2,2,960
1,52,9.913727799,1,2,3672.458333,2,A339001,2,2,1,1,5,-0.237902886,0.143133648,FALSE,2,2,330
1,40,9.86496945,1,2,4704.458333,1,A339004,2,2,1,1,6,0.858325047,0.143133648,FALSE,4,2,2000
1,40,9.86496945,1,2,6112.416667,2,A339004,2,2,1,1,6,0.858325047,0.143133648,FALSE,4,2,2000
1,40,9.86496945,1,2,3248.458333,2,A339004,2,2,1,1,6,0.858325047,0.143133648,FALSE,4,2,2000
1,40,9.86496945,1,2,3629.458333,2,A339004,2,2,1,1,6,0.858325047,0.143133648,FALSE,4,2,2000
1,54,10.06480433,1,2,3825.416667,1,A339005,2,2,1,1,4,-1.334130819,0.143133648,FALSE,2,3,500
1,52,9.598794951,1,2,4837.416667,2,A339006,2,2,1,1,7,1.95455298,0.143133648,FALSE,4,2,880
1,52,9.598794951,1,2,3674.458333,1,A339006,2,2,1,1,7,1.95455298,0.143133648,FALSE,4,2,880
1,52,9.598794951,1,2,2919.458333,2,A339006,2,2,1,1,7,1.95455298,0.143133648,FALSE,4,2,880
1,60,10.02567358,1,1,4468.416667,2,A339008,2,2,1,1,5,-0.237902886,0.143133648,FALSE,2,2,1000
1,60,10.02567358,1,1,3366.458333,2,A339008,2,2,1,1,5,-0.237902886,0.143133648,FALSE,2,2,1000
1,40,9.965791436,1,1,2968.458333,2,A342001,1,1,3,3,6,0.858325047,0.143133648,FALSE,2,2,250
1,40,9.965791436,1,1,4395.458333,2,A342001,1,1,3,3,6,0.858325047,0.143133648,FALSE,2,2,250
1,50,9.794350072,1,2,3526.416667,1,A342005,1,1,3,3,6,0.858325047,0.143133648,FALSE,2,2,150
1,50,9.794350072,1,2,5443.458333,2,A342005,1,1,3,3,6,0.858325047,0.143133648,FALSE,2,2,150
1,38,11.46339753,0,2,2927.458333,2,A342006,1,1,3,3,6,0.858325047,-6.985372839,FALSE,3,2,800
1,38,11.46339753,1,2,4609.416667,2,A342006,1,1,3,3,6,0.858325047,0.143133648,FALSE,3,2,800
1,40,10.82672552,1,2,3992.458333,1,A342008,1,1,3,3,7,1.95455298,0.143133648,FALSE,3,2,990
1,40,10.82672552,1,2,3147.416667,1,A342008,1,1,3,3,7,1.95455298,0.143133648,FALSE,3,2,990
1,40,10.82672552,1,2,4568.416667,1,A342008,1,1,3,3,7,1.95455298,0.143133648,FALSE,3,2,990
1,42,11.64703794,1,1,3216.458333,2,A343001,2,1,1,1,6,0.858325047,0.143133648,FALSE,2,3,370
1,42,11.64703794,1,1,3216.458333,2,A343001,2,1,1,1,6,0.858325047,0.143133648,FALSE,2,3,370
1,37,9.785869682,1,1,4153.416667,2,A343002,2,1,1,1,4,-1.334130819,0.143133648,FALSE,2,2,439
1,37,9.785869682,1,1,2373.416667,1,A343002,2,1,1,1,4,-1.334130819,0.143133648,FALSE,2,2,439
1,37,9.785869682,1,1,3061.416667,1,A343002,2,1,1,1,4,-1.334130819,0.143133648,FALSE,2,2,439
1,46,10.28314633,1,2,3703.458333,1,A343003,2,1,1,1,4,-1.334130819,0.143133648,FALSE,2,2,250
1,45,9.744743004,1,1,4355.458333,2,A343004,2,1,1,1,7,1.95455298,0.143133648,FALSE,1,2,450
1,45,9.744743004,1,1,2431.416667,2,A343004,2,1,1,1,7,1.95455298,0.143133648,FALSE,1,2,450
1,50,10.21611917,1,2,4538.416667,2,A343005,2,1,1,1,6,0.858325047,0.143133648,FALSE,3,3,150
1,50,10.21611917,1,2,2735.416667,2,A343005,2,1,1,1,6,0.858325047,0.143133648,FALSE,3,3,150
1,49,9.069270432,1,2,4065.458333,1,A343006,2,1,1,1,4,-1.334130819,0.143133648,FALSE,2,2,250
1,45,9.871016012,1,1,3656.458333,2,A343007,2,1,1,1,5,-0.237902886,0.143133648,FALSE,2,4,150
1,45,9.871016012,1,1,2473.458333,2,A343007,2,1,1,1,5,-0.237902886,0.143133648,FALSE,2,4,150
1,45,11.94812504,1,1,3454.416667,1,A344001,1,2,2,2,5,-0.237902886,0.143133648,FALSE,2,4,1150
1,40,11.21061308,1,1,3354.458333,2,A344003,1,2,2,2,5,-0.237902886,0.143133648,FALSE,3,2,1556
1,40,11.21061308,1,1,4635.416667,2,A344003,1,2,2,2,5,-0.237902886,0.143133648,FALSE,3,2,1556
